,issuer_name,plan_sponsor_name,plan_name,SPONS_DFE_EIN,FORM_TAX_PRD,FORM_PLAN_YEAR_BEGIN_DATE,PLAN_EFF_DATE,SPONS_DFE_MAIL_US_ADDRESS1,SPONS_DFE_MAIL_US_ADDRESS2,SPONS_DFE_MAIL_US_CITY,SPONS_DFE_MAIL_US_STATE,SPONS_DFE_MAIL_US_ZIP,SPONS_DFE_PHONE_NUM,BUSINESS_CODE,ADMIN_SIGNED_DATE,ADMIN_SIGNED_NAME
0,Cigna Health Life Insurance Company,"11:11 Systems, Inc.",OAP,850775797,2025-12-31,2025-01-01,2023-01-01,"695 ROUTE 46, SUITE 301",,FAIRFIELD,NJ,7004.0,8006977088.0,541512.0,2026-03-27T13:15:17-0500,EMILY COLE
1,Cigna Health Life Insurance Company,Community Counseling Solutions,OAP,342057513,2025-12-31,2025-01-01,2018-01-01,550 WEST SPERRY STREET,,HEPPNER,OR,97836.0,5416769161.0,621420.0,,
2,Cigna Health Life Insurance Company,"Huish Outdoors, LLC",PPO,263678735,2023-11-30,2022-12-01,2022-12-01,1540 NORTH 2200 WEST,,SALT LAKE CITY,UT,84116.0,8018346931.0,451140.0,2026-04-22T16:14:09-0500,CINDY CHATWIN
3,Cigna Health Life Insurance Company,"Grassy Creek, LLC",OAP,980552787,2025-12-31,2025-01-01,2017-08-01,PO BOX 1807,330 BELLEVIEW AVENUE,CRESTED BUTTE,CO,81224.0,9703497761.0,531120.0,,
4,Cigna Health Life Insurance Company,Commercial Credit Group Inc.,OAP,201409176,2025-12-31,2025-01-01,2013-12-01,"525 NORTH TRYON STREET, SUITE 1000",,CHARLOTTE,NC,28202.0,7047310031.0,522220.0,,
5,Cigna Health Life Insurance Company,"Andrew's Refrigeration, Inc.",Local Plus,860840431,2025-12-31,2025-01-01,2020-01-01,5617 E HILLERY DRIVE,,SCOTTSDALE,AZ,85254.0,6029929560.0,443141.0,2026-04-03T11:49:41-0500,GREG WILLMER
6,Cigna Health Life Insurance Company,Oats Overnight Inc.,OAP,812174460,2025-12-31,2025-07-01,2022-07-01,4121 EAST COTTON CENTER BOULEVARD,,PHOENIX,AZ,85040.0,6028854328.0,311900.0,,
7,Cigna Health Life Insurance Company,Huvepharma,OAP,203406575,2025-12-31,2025-01-01,2019-01-01,525 WESTPARK DRIVE,SUITE 230,PEACHTREE CITY,GA,30269.0,4702782111.0,311110.0,2026-04-22T11:18:00-0500,MICHELLE PEPPERS
8,Cigna Health Life Insurance Company,"Peak Dental Services, LLC",OAP,263216754,2022-03-31,2021-04-01,2017-04-01,6110 BARNES ROAD,,COLORADO SPRINGS,CO,80922.0,3033178997.0,541600.0,,
9,Cigna Health Life Insurance Company,"Peak Dental Services, LLC",OAP,263216754,2022-03-31,2021-04-01,2021-04-01,6110 BARNES ROAD,,COLORADO SPRINGS,CO,80922.0,3033178997.0,541600.0,,
